ID,nDissSteps,pKa,pKa_1,pKa_2,pKaType,pKaType_1,pKaType_2,ChargeA,ChargeA_1,ChargeA_2,ChargeA_3,ChargeB,ChargeB_1,ChargeB_2,ChargeB_3,pKaserror,pKaserror_1,pKaserror_2
154,3,0.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
155,3,1.52,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
156,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
157,3,2.75,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
158,3,3.35,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
159,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
160,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
161,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
162,3,1.21,15,16,1,0,0,0,0,0,0,1,0,0,0,0.3,0.1,0.1
163,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
164,3,2.19,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
165,3,2.75,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
166,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
167,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
168,3,1.67,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
169,3,2.34,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
170,3,0.91,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
171,3,2.91,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
172,3,2.7,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
173,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1,0.1,0.1,0.1
174,3,3.06,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
175,3,3.06,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
176,3,2.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
177,3,3.27,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
178,3,2.68,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
179,3,2.4,15,16,1,0,0,0,0,0,0,1,0,0,0,0.4,0.1,0.1
180,3,2.98,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
181,3,2.4,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
182,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
183,3,2.31,15,16,1,0,0,0,0,0,0,1,0,0,0,0.11,0.1,0.1
184,3,3.66,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.25,0.1,0.1
185,3,2.94,15,16,1,0,0,0,0,0,0,1,0,0,0,0.12,0.1,0.1
186,3,-0.00316,15,16,1,0,0,0,0,0,0,1,0,0,0,0.2,0.1,0.1
187,3,3.88,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0,0.1,0.1,0.1
188,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
189,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
190,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
191,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
192,3,2.97,15,16,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0.1
193,3,1.41,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
194,3,0.48,1.54,16,1,1,0,0,0,0,0,2,1,0,0,0.1,0.1,0.1
195,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
196,3,1.45,15,16,1,0,0,0,0,0,0,1,0,0,0,0.5,0.1,0.1
197,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
198,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
199,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
200,3,2.57,15,16,1,0,0,0,0,0,0,1,0,0,0,0.11,0.1,0.1
