"node","parent","crit"
"779","0",0
"780","0",0
"781","0",0
"783","0",0
"787","0",0
"788","0",0
"789","0",0
"790","0",0
"795","0",0
"798","0",0
"802","0",0
"803","0",0
"806","0",0
"808","0",0
"810","0",0
"812","0",0
"814","0",0
"817","0",0
"819","0",0
"821","0",0
"822","0",0
"823","0",0
"824","0",0
"828","0",0
"830","0",0
"833","0",0
"846","0",0
"849","0",0
"852","0",0
"854","0",0
"859","0",0
"863","0",0
"864","0",0
"866","0",0
"872","0",0
"873","0",0
"874","0",0
"882","0",0
"883","0",0
"884","0",0
"888","0",0
"889","0",0
"891","0",0
"892","0",0
"895","0",0
"898","0",0
"899","0",0
"901","0",0
"902","0",0
"904","0",0
"907","0",0
"908","0",0
"912","0",0
"915","0",0
"916","0",0
"917","0",0
"918","0",0
"925","0",0
"926","0",0
"938","0",0
"942","0",0
"944","0",0
"946","0",0
"956","0",0
"966","0",0
"967","0",0
"968","0",0
"970","0",0
"973","0",0
"976","0",0
"982","0",0
"994","0",0
"997","0",0
"999","0",0
"1003","0",0
"1005","0",0
"1007","0",0
"1018","0",0
"1023","0",0
"1024","0",0
"1026","0",0
"15","0",0
"26","0",0
"29","0",0
"32","0",0
"43","0",0
"57","0",0
"61","0",0
"66","0",0
"71","0",0
"81","0",0
"83","0",0
"86","0",0
"95","0",0
"97","0",0
"101","0",0
"124","0",0
"130","0",0
"148","0",0
"154","0",0
"157","0",0
"170","0",0
"174","0",0
"177","0",0
"184","0",0
"190","0",0
"196","0",0
"208","0",0
"215","0",0
"230","0",0
"234","0",0
"242","0",0
"245","0",0
"247","0",0
"258","0",0
"265","0",0
"266","0",0
"269","0",0
"304","0",0
"311","0",0
"315","0",0
"316","0",0
"335","0",0
"336","0",0
"353","0",0
"354","0",0
"391","0",0
"392","0",0
"395","0",0
"399","0",0
"410","0",0
"412","0",0
"424","0",0
"425","0",0
"430","0",0
"435","0",0
"437","0",0
"445","0",0
"455","0",0
"458","0",0
"460","0",0
"494","0",0
"521","0",0
"522","0",0
"525","0",0
"530","0",0
"562","0",0
"569","0",0
"570","0",0
"572","0",0
"590","0",0
"593","0",0
"594","0",0
"597","0",0
"600","0",0
"605","0",0
"627","0",0
"635","0",0
"641","0",0
"648","0",0
"649","0",0
"652","0",0
"654","0",0
"657","0",0
"662","0",0
"689","0",0
"693","0",0
"699","0",0
"701","0",0
"707","0",0
"710","0",0
"721","0",0
"730","0",0
"731","0",0
"735","0",0
"739","0",0
"742","0",0
"749","0",0
"778","0",0
"799","0",0
"825","0",0
"835","0",0
"836","0",0
"840","0",0
"843","0",0
"868","0",0
"870","0",0
"881","0",0
"896","0",0
"903","0",0
"910","0",0
"911","0",0
"914","0",0
"929","0",0
"931","0",0
"933","0",0
"941","0",0
"952","0",0
