"SMILES","MolWt","LogP","TPSA","LabuteASA","NumHAcceptors","NumHDonors","NumRotatableBonds","RingCount","NumAromaticRings","ExactMolWt"
"CC(C)(C)C(CCc1ccc(cc1)Cl)(Cn1cncn1)O",307.825,3.3415,50.94,161.328436919538,4,1,5,2,2,307.145140004
"c1cc(C(Cn2cncn2)COC(C(F)F)(F)F)c(cc1Cl)Cl",372.149,4.2432,39.94,153.976984132272,4,0,7,2,2,371.021530212
"Cc1cccc2c1n1cnnc1s2",189.243,2.25242,30.19,88.4790764627251,4,0,0,3,3,189.036068224
"CC1(C)CCC(=Cc2ccc(cc2)Cl)C1(Cn1cncn1)O",317.82,3.5662,50.94,163.188003847885,4,1,3,3,2,317.12948994
"CC(C)(C)C(C(=Cc1ccc(cc1)Cl)n1cncn1)O",291.782,3.3366,50.94,148.654009772286,4,1,3,2,2,291.113839876
"CC(C(=O)NC)SCCSP(=O)(OC)OC",287.343,1.9882,64.63,130.037591296727,6,1,8,0,0,287.041486686
"CC(C)(C)C(C(n1cncn1)Oc1ccc(cc1)c1ccccc1)O",337.423,3.9297,60.17,179.870896399602,5,1,5,3,3,337.179026976
"CCC(=NOCC=CCl)C1=C(CC(CC(C)SCC)CC1=O)O",359.919,4.8444,58.89,184.154229222099,5,1,9,1,0,359.132192372
"CC1COC(Cn2cncn2)(c2ccc(cc2Cl)Oc2ccc(cc2)Cl)O1",406.269,4.6655,58.4,190.023019033123,6,0,5,4,3,405.064696764
"CC1(CCCCC1)C(=O)Nc1ccc(c(c1Cl)Cl)O",302.201,4.6079,49.33,146.48648476397,2,2,2,2,1,301.063634144
"CN(C)C(=O)c1cccc(c1S(=O)(=O)NC(=O)Nc1nc(cc(n1)OC)OC)NC=O",452.449,0.2743,168.92,205.637820860889,9,3,8,2,2,452.11141798
"COC(=O)C12Cc3cc(ccc3C1=NN(CO2)C(=O)N(c1ccc(cc1)OC(F)(F)F)C(=O)OC)Cl",527.839,4.0933,106.97,230.134500165642,8,0,3,4,2,527.070712224
"CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC",314.296,2.0054,88.13,142.830029743534,8,0,9,0,0,314.058910578
"CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC",330.364,2.1218,71.06,148.660347172272,8,0,9,0,0,330.036066958
"CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC",329.38,2.632,65.07,150.711606113136,7,0,8,0,0,329.05205137
"CC#Cc1cc(C)nc(Nc2ccccc2)n1",223.279,2.90002,37.81,119.259322454928,3,1,2,2,2,223.110947416
"Cc1cccc(C)c1N(C(C)C(=O)OC)C(=O)COC",279.336,1.84434,55.84,148.530230981895,4,0,5,1,1,279.147058152
"Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl",277.755,2.72944,38.13,139.624591354319,3,0,4,2,2,277.098189812
"COc1nn(CSP(=S)(OC)OC)c(=O)s1",302.339,1.5214,62.58,121.271041648368,9,0,6,1,1,301.961856462
"CCc1cccc(C)c1N(C(C)COC)C(=O)CCl",283.799,3.16412,29.54,150.963400379394,2,0,6,1,1,283.133906624
"CC(=CC(=O)OC)OP(=O)(OC)OC",224.149,1.4807,71.06,100.669230876753,6,0,5,0,0,224.044974766
"CCSC(=O)N1CCCCCC1",187.308,2.7355,20.31,102.581921087938,2,0,1,1,0,187.103085164
"CC(C)Oc1cc(c(cc1Cl)Cl)n1c(=O)oc(C(C)(C)C)n1",345.226,4.217,57.26,163.626211193642,5,0,3,2,2,344.069447796
