ID,logP,logPerror
862,2.11,0.4
863,2.2,0.72
864,4.05,0.54
865,-0.3,0.78
866,4.64,0.27
867,2.38,0.29
868,3.02,0.36
869,2.72,0.39
870,2.03,0.36
871,4.52,1.24
872,5.88,0.79
873,1.7,0.64
874,4.39,0.37
875,2.91,0.33
876,2.72,0.4
877,1.24,0.63
878,4.24,0.25
879,1.84,0.57
880,4.25,0.8
881,4.27,0.31
882,4.3,0.51
883,4.97,0.92
884,3.61,0.37
885,3.82,0.39
886,3.09,0.76
887,4.35,0.3
888,2.37,0.27
889,3.28,0.51
890,2.19,0.73
891,4.15,0.42
892,2.58,0.81
893,3.15,1.16
894,0.32,0.35
895,6.38,0.36
896,0.77,0.85
897,2.79,0.84
898,4.63,0.4
899,5.15,0.42
900,2.41,1.12
901,-3.43,0.72
902,3.8,1.18
903,1.63,0.26
904,1.95,0.4
905,4.13,0.39
906,1.27,0.27
907,4.32,0.31
908,2.38,0.47
909,4.15,0.37
910,3.78,0.41
911,5.95,0.27
912,8.24,0.59
913,6.99,0.21
914,6.26,0.6
915,7.11,0.41
916,3.53,0.41
917,0.58,1
918,4.18,0.29
919,3.44,0.56
920,5.91,1.05
921,2.37,1.48
922,3.79,1.55
923,8.01,0.49
924,4.12,0.49
925,1.31,0.62
926,2.75,0.47
927,1.38,0.42
928,3.48,0.3
929,3.01,0.88
930,3.69,0.62
931,6.11,0.54
932,6.64,0.54
933,3.17,0.64
934,4.81,0.42
935,3.79,0.4
936,3.38,1.14
937,1.65,0.43
938,4.54,0.54
939,5.17,0.47
940,5.16,0.61
941,-0.37,0.63
942,3.58,0.63
943,3.88,0.28
944,4.14,0.39
945,7.05,0.48
946,4.52,0.62
947,3.82,1.17
948,1.83,0.55
949,4.83,0.37
950,2.26,0.33
951,4.99,1.31
952,3.93,0.32
953,0.54,0.3
954,1.85,0.4
955,1.41,1.28
956,-3.85,0.63
957,1.36,0.66
958,3.65,0.94
959,6.07,0.43
960,2.61,0.25
961,2.58,0.95
962,5.36,1.48
963,2.77,1.24
964,6.01,1.18
965,0.82,0.65
966,-0.34,1.25
967,6.5,0.52
968,3.55,0.37
969,2.93,0.37
970,4.42,0.5
971,4.44,0.41
972,1.5,0.23
973,2.21,1.43
974,2.4,0.4
975,2.62,0.41
976,2.64,0.41
977,2.81,1.19
978,2.63,0.57
979,2.11,1.19
980,0.83,0.38
981,3.81,0.63
982,1.85,0.65
983,3.32,0.66
984,2.45,0.81
985,1.36,0.72
986,3.42,0.53
987,2.86,1.13
988,3.02,0.27
989,3.58,0.33
990,3.26,1.34
991,4.32,0.91
992,3.07,0.83
993,3,1.34
994,3.99,1.12
995,-5,1.26
996,3.12,0.81
997,3.32,0.37
998,-0.17,0.42
999,4.66,1.41
1000,5.69,0.62
1001,1.08,0.41
1002,3.84,1.39
1003,2.66,0.37
1004,1.03,0.33
1005,-0.39,0.85
1006,1.45,1.28
1007,2.2,0.41
1008,1.43,0.23
1009,3.39,0.44
1010,6.49,1.13
1011,5.14,0.53
1012,4.13,0.85
1013,1.19,1.02
1014,0.96,0.28
1015,2.7,0.82
1016,-1.08,0.42
1017,2.95,0.31
1018,2.42,0.37
1019,1.6,0.58
1020,6.67,1.12
1021,1.57,0.67
1022,1.05,1.42
1023,-1.26,1.3
1024,1.35,0.47
1025,3.86,0.33
1026,1.42,0.87
